Model Number,Description,MSRP,Base Price +10%
1F02201KK,2.5MH FourStroke,1385,1271
1F03201KK,3.5MH FourStroke,1660,1524
1F03211KK,3.5MLH FourStroke,1700,1557
1F04201KK,4MH FourStroke,1980,1815
1F04211KK,4MLH FourStroke,2020,1854
1FX5201KK,5MH FourStroke,2200,2019
1F05221KK,5MXLH FourStroke,2280,2090
1F05216KK,5MLHA Sail Power FourStroke,2245,2057
1FX6201KK,6MH FourStroke,2275,2085
1FX6211KK,6MLH FourStroke,2310,2118
1A08201LK,8MH FourStroke,3310,3036
1A08211LK,8MLH FourStroke,3355,3075
1A08301LK,8EH FourStroke,3650,3344
1A08311LK,8ELH FourStroke,3690,3383
1A10204LV,9.9MRC FourStroke,3870,3548
1A10201LK,9.9MH FourStroke,3875,3553
1A10211LK,9.9MLH FourStroke,3925,3597
1A10301LK,9.9EH FourStroke,4230,3878
1A10312LK,9.9EL FourStroke,4325,3966
1A10311LK,9.9ELH FourStroke,4435,4065
1A10402LK,9.9EPT FourStroke,4900,4494
1A10251LK,9.9MLH Command Thrust FourStroke,4250,3894
1A10261LK,9.9MXLH Command Thrust FourStroke,4375,4010
1A10351LK,9.9ELH Command Thrust FourStroke,4790,4389
1A10361LK,9.9EXLH Command Thrust FourStroke,4870,4466
1A10452LK,9.9ELPT Command Thrust ProKicker EFI FourStroke,5345,4901
1A10462LK,9.9EXLPT Command Thrust ProKicker EFI FourStroke,5435,4983
1A10451LK,9.9ELHPT Command Thrust ProKicker EFI FourStroke,5455,5000
1A10461LK,9.9EXLHPT Command Thrust ProKicker EFI FourStroke,5555,5093
1A15204LK,15MRC FourStroke,4180,3834
1A15201LK,15MH FourStroke,4225,3872
1A15211LK,15MLH FourStroke,4280,3922
1A15302LK,15E FourStroke,4570,4191
1A15312LK,15EL FourStroke,4600,4219
1A15301LK,15EH FourStroke,4600,4219
1A15311LK,15ELH FourStroke,4660,4274
1A15402LK,15EPT FourStroke,5190,4758
1A15401LK,15EHPT FourStroke,5220,4785
1A15412LK,15ELPT FourStroke,5110,4686
1A15452BK,15ELPT ProKicker FourStroke,5855,5368
1A15462BK,15EXLPT ProKicker FourStroke,5950,5456
1A15451BK,15ELHPT ProKicker FourStroke,5960,5462
1A15461BK,15EXLHPT ProKicker FourStroke,6080,5572
1A20204LK,20MRC FourStroke,4565,4186
1A20201LK,20MH FourStroke,4615,4230
1A20211LK,20MLH FourStroke,4655,4268
1A20301LK,20EH FourStroke,5110,4686
1A20302LK,20E FourStroke,5100,4675
1A20311LK,20ELH FourStroke,5185,4752
1A20312LK,20EL FourStroke,5090,4664
1A20402LK,20EPT FourStroke,5740,5264
1A20411LK,20ELHPT FourStroke,5880,5390
1A20412LK,20ELPT FourStroke,5740,5264
1A25203BK,25MH FourStroke,5320,4879
1A25213BK,25MLH FourStroke,5420,4967
1A25301BK,25EH FourStroke,5730,5253
1A25311BK,25ELH FourStroke,5935,5440
1A25312BK,25EL FourStroke,5675,5203
1A25403BK,25EPT FourStroke,6450,5913
1A25411BK,25ELHPT FourStroke,6665,6111
1A25413BK,25ELPT FourStroke,6540,5995
1A25452BK,25ELPT ProKicker FourStroke,6860,6287
1A25462BK,25EXLPT ProKicker FourStroke,7025,6441
1A3G203BK,30MHGA FourStroke,7405,6787
1A3G213BK,30MLHGA FourStroke,7465,6842
1A3G313BK,30ELGA FourStroke,8030,7359
1A3G311BK,30ELHGA FourStroke,8160,7480
