Model Number,Description,Price  
1F02201KK,2.5MH FourStroke,1270  
1F03201KK,3.5MH FourStroke,1524  
1F03211KK,3.5MLH FourStroke,1557  
1F04201KK,4MH FourStroke,1815  
1F04211KK,4MLH FourStroke,1854  
1FX5201KK,5MH FourStroke,2019  
1F05221KK,5MXLH FourStroke,2090  
1F05216KK,5MLHA Sail Power FourStroke,2057  
1FX6201KK,6MH FourStroke,2084  
1FX6211KK,6MLH FourStroke,2118  
1A08201LK,8MH FourStroke,3036  
1A08211LK,8MLH FourStroke,3075  
1A08301LK,8EH FourStroke,3344  
1A08311LK,8ELH FourStroke,3383  
1A10204LV,9.9MRC FourStroke,3548  
1A10201LK,9.9MH FourStroke,3553  
1A10211LK,9.9MLH FourStroke,3597  
1A10301LK,9.9EH FourStroke,3878  
1A10312LK,9.9EL FourStroke,3966  
1A10311LK,9.9ELH FourStroke,4065  
1A10402LK,9.9EPT FourStroke,4494  
1A10251LK,9.9MLH Command Thrust FourStroke,3894  
1A10261LK,9.9MXLH Command Thrust FourStroke,4010  
1A10351LK,9.9ELH Command Thrust FourStroke,4389  
1A10361LK,9.9EXLH Command Thrust FourStroke,4466  
1A10452LK,9.9ELPT Command Thrust ProKicker EFI FourStroke,4900  
1A10462LK,9.9EXLPT Command Thrust ProKicker EFI FourStroke,4983  
1A10451LK,9.9ELHPT Command Thrust ProKicker EFI FourStroke,5000  
1A10461LK,9.9EXLHPT Command Thrust ProKicker EFI FourStroke,5093  
1A15204LK,15MRC FourStroke,3834  
1A15201LK,15MH FourStroke,3872  
1A15211LK,15MLH FourStroke,3922  
1A15302LK,15E FourStroke,4191  
1A15312LK,15EL FourStroke,4218  
1A15301LK,15EH FourStroke,4218  
1A15311LK,15ELH FourStroke,4274  
1A15402LK,15EPT FourStroke,4758  
1A15401LK,15EHPT FourStroke,4785  
1A15412LK,15ELPT FourStroke,4686  
1A15452BK,15ELPT ProKicker FourStroke,5368  
1A15462BK,15EXLPT ProKicker FourStroke,5456  
1A15451BK,15ELHPT ProKicker FourStroke,5462  
1A15461BK,15EXLHPT ProKicker FourStroke,5572  
1A20204LK,20MRC FourStroke,4186  
1A20201LK,20MH FourStroke,4230  
1A20211LK,20MLH FourStroke,4268  
1A20301LK,20EH FourStroke,4686  
1A20302LK,20E FourStroke,4675  
